Recipe ID,Products,Energy (kcal),Carbs (g),Protein (g),Fat (g),Preparation Time (min),Type of Preparation,Taste Rating,Shelf Time (days)
R-001!,"Pineapple Chunks(112 ml),Pesto Sauce(167 ml),Pistachios(191 gr),Pickled Ginger(197 ml),Pepitas(129 gr)",229.24,69.79,26.69,26.04,42,Baking,3,1
R-002!,"Plum Sauce(76 ml),Pepper Jack Cheese(156 gr),Pickled Ginger(71 ml),Pineapple Chunks(143 ml),Pine Nuts(188 gr),Pepitas(135 gr),Plantains(168 pieces)",183.91,67.56,34.14,26.17,12,Cooking,3,3
R-003!,"Pistachios(81 gr),Pickled Ginger(103 ml),Plantains(50 pieces),Pepper Jack Cheese(119 gr),Plum Sauce(53 ml),Pine Nuts(90 gr),Pickled Beets(137 ml)",400.39,29.96,20.21,7.19,20,Frying,7,4
R-004,"Cashew Cream(197 ml),Mint Extract(97 ml),Cherry Tomatoes(59 pieces)",118.98,41.22,31.57,14.02,27,Cooking,5,3
R-005!,"Pickled Ginger(170 ml),Pineapple Chunks(198 ml),Pine Nuts(109 gr),Plantains(172 pieces),Pesto Sauce(166 ml),Pickled Beets(156 ml)",428.2,62.89,24.96,17.06,39,Frying,8,4
R-006!,"Plum Sauce(175 ml),Pine Nuts(57 gr),Pecans(147 gr),Pink Peppercorns(61 gr),Pepper Jack Cheese(184 gr),Pickled Beets(85 ml)",387.01,54.77,20.98,12.41,19,Frying,2,4
R-007,"Tahini(63 ml),Meyer Lemon(187 pieces),Coconut Flour(183 gr),Pistachios(163 gr)",327.6,35.71,34.88,15.83,26,Cooking,2,3
R-008,"Brown Butter(63 ml),Milk Chocolate(139 gr),Pecan Nuts(122 gr)",460.26,22.23,23.61,11.53,26,Cooking,9,3
R-009,"Shiitake Mushrooms(110 gr),Lentil Flour(103 gr),Radicchio(58 ml),Cassava Flour(136 gr),Tempeh Bacon(144 gr),Jalapeño Peppers(134 pieces),Lettuce(116 ml)",482.9,50.26,35.01,17.0,42,Baking,1,5
R-010!,"Plum Sauce(117 ml),Pistachios(101 gr),Pink Peppercorns(200 gr),Pickled Ginger(102 ml),Pesto Sauce(110 ml),Pine Nuts(90 gr)",452.29,43.24,29.43,7.95,18,Grilling,3,3
R-011!,"Pink Peppercorns(150 gr),Pineapple Chunks(177 ml),Pickled Beets(85 ml),Plum Sauce(164 ml),Pepper Jack Cheese(54 gr),Pickled Ginger(114 ml),Pine Nuts(99 gr)",400.87,51.3,36.25,19.74,50,Baking,8,5
R-012,"Red Chili Peppers(145 pieces),Fruit Cocktail(125 ml),Blanched Almonds(146 gr),Red Bell Pepper(131 pieces),Dried Herbs(111 gr),Onion Powder(64 gr),Demerara Sugar(62 gr)",189.97,60.5,33.87,13.48,24,Grilling,6,1
R-013!,"Pickled Ginger(64 ml),Pesto Sauce(64 ml),Pecans(132 gr),Pickled Beets(116 ml),Pepper Jack Cheese(159 gr)",334.76,42.15,16.25,25.74,40,Grilling,2,5
R-014!,"Pesto Sauce(164 ml),Pineapple Chunks(154 ml),Pine Nuts(101 gr),Plantains(156 pieces),Plum Sauce(180 ml),Pink Peppercorns(52 gr)",362.36,44.4,26.08,8.3,33,Frying,10,4
R-015!,"Pine Nuts(54 gr),Pesto Sauce(186 ml),Pink Peppercorns(182 gr),Pepper Jack Cheese(65 gr),Pepitas(114 gr)",385.3,22.99,23.77,27.17,54,Cooking,5,1
R-016,"Flaxseed Oil(137 ml),Vanilla Extract(59 ml),Dukkah(162 gr),Buttermilk(79 ml),Nori(138 gr)",279.06,66.51,37.12,29.02,43,Baking,8,3
R-017!,"Plum Sauce(192 ml),Pesto Sauce(51 ml),Plantains(165 pieces),Pineapple Chunks(163 ml),Pink Peppercorns(114 gr),Pine Nuts(106 gr),Pickled Ginger(62 ml)",221.21,60.34,36.33,18.2,57,Frying,2,2
R-018!,"Pink Peppercorns(110 gr),Pepper Jack Cheese(151 gr),Pine Nuts(172 gr)",400.72,66.36,21.06,29.32,21,Frying,5,5
R-019!,"Pine Nuts(149 gr),Pickled Beets(157 ml),Pickled Ginger(94 ml)",353.01,56.37,23.5,16.21,54,Grilling,3,1
R-020!,"Plantains(135 pieces),Pickled Ginger(120 ml),Pickled Beets(114 ml),Pepper Jack Cheese(179 gr),Pine Nuts(50 gr)",430.65,55.92,28.14,6.76,24,Baking,6,4
R-021,"Balsamic Vinegar(148 ml),Frozen Peas(190 ml),Mushroom Soy Sauce(72 ml)",275.7,67.86,12.12,20.08,52,Frying,5,2
R-022!,"Pickled Ginger(176 ml),Plantains(95 pieces),Plum Sauce(194 ml),Pineapple Chunks(144 ml),Pine Nuts(154 gr),Pistachios(111 gr),Pepper Jack Cheese(126 gr)",454.1,36.66,17.74,17.1,55,Frying,3,2
R-023,"Buckwheat Flour(109 gr),Sun-Dried Tomatoes(94 ml),Galangal(73 gr)",318.63,62.87,15.24,13.1,23,Baking,1,3
R-024!,"Pickled Beets(175 ml),Pecans(200 gr),Pine Nuts(182 gr)",230.87,36.67,21.65,23.98,23,Baking,4,2
R-025!,"Plantains(145 pieces),Pepitas(152 gr),Pistachios(123 gr),Plum Sauce(67 ml),Pineapple Chunks(142 ml),Pickled Ginger(108 ml),Pesto Sauce(96 ml)",143.78,37.47,30.01,29.57,49,Baking,8,2
R-026!,"Pickled Beets(148 ml),Pesto Sauce(101 ml),Plantains(99 pieces),Plum Sauce(185 ml),Pickled Ginger(165 ml),Pepper Jack Cheese(152 gr)",387.02,51.61,14.27,20.8,17,Baking,9,5
R-027,"Egg(198 pieces),Brussels Sprouts(147 ml),Provolone Cheese(172 gr),Yellow Cornmeal(130 gr),Colby Cheese(145 gr),Canary Beans(200 ml)",147.35,48.97,26.06,15.41,54,Cooking,9,5
R-028!,"Pecans(96 gr),Pistachios(174 gr),Pine Nuts(179 gr)",452.6,68.3,24.09,23.82,58,Cooking,10,2
R-029,"Kohlrabi(185 pieces),Mascarpone Cheese(163 gr),Cassava Flour(89 gr),Chow Mein Noodles(153 ml)",113.94,57.9,31.12,5.07,23,Cooking,9,2
R-030,"Tarragon Vinegar(139 ml),Whole-Wheat Flour(177 ml),Cream Cheese Frosting(137 ml),Celery Seed(116 gr)",389.19,61.24,35.41,12.96,29,Cooking,6,3
R-031,"Sweet Basil(169 ml),Coconut Water(177 ml),Cheddar Cheese(50 gr)",437.8,30.91,13.26,21.43,54,Grilling,6,4
R-032,"Vermicelli(177 ml),Jalapeno Pepper(149 pieces),Dried Blueberries(62 gr)",374.39,35.56,18.8,17.64,40,Frying,4,1
R-033!,"Pecans(84 gr),Pepper Jack Cheese(97 gr),Pistachios(197 gr),Plum Sauce(185 ml),Plantains(181 pieces)",357.35,68.0,12.19,17.27,21,Cooking,9,4
