ID,Product Name,Quantity,Unit,Date
407,Tilapia Fillets,250,gr,2024-09-29
308,Jasmine Tea,1000,gr,2024-09-30
378,Dried Turmeric,50,gr,2024-09-08
2968,Green Tea Powder,1000,gr,2024-09-27
850,Tobiko,500,gr,2024-09-28
247,Hazelnuts,50,gr,2024-09-28
822,Honeydew Melon,1,pieces,2024-09-07
180,Edamame,100,ml,2024-09-16
2714,Cognac,200,ml,2024-10-04
1429,Yellow Cornmeal,50,gr,2024-10-02
203,Agar Agar,1000,gr,2024-09-19
118,Italian Sausage,1000,gr,2024-10-05
651,Chili Flakes,150,gr,2024-10-03
126,Cauliflower Florets,250,ml,2024-09-09
1761,Potato Wedges,3,pieces,2024-09-23
2182,Canary Beans,500,ml,2024-10-05
1409,Five Spice Powder,50,gr,2024-09-13
353,Dried Figs,100,gr,2024-09-27
811,Falafel Mix,250,gr,2024-09-25
1250,Chocolate Chips,1000,gr,2024-09-12
794,Espresso Powder,100,gr,2024-09-25
280,Pineapple Tidbits,500,ml,2024-09-21
923,Croissants,4,pieces,2024-10-03
806,Kale Chips,250,ml,2024-09-22
1143,Chutney,1000,ml,2024-10-03
3059,Green Papaya,2,pieces,2024-09-22
2631,Irish Cream Liqueur,250,ml,2024-09-25
105,Tomato Puree,500,ml,2024-09-16
145,Duck Fat,250,ml,2024-09-12
731,Cashew Cream,200,ml,2024-09-12
92,Buttermilk,500,ml,2024-10-06
1605,Lemongrass,200,ml,2024-09-30
193,Romaine Lettuce,200,ml,2024-09-15
1126,Pancetta,250,gr,2024-09-27
1983,Longan,1,pieces,2024-09-20
478,Spaghetti,200,ml,2024-09-30
924,Black Pepper,500,gr,2024-09-17
2252,Shiitake Mushrooms,250,gr,2024-10-02
2462,Orzo,500,ml,2024-09-21
334,Barbecue Sauce,200,ml,2024-10-05
981,Water Chestnuts,1000,ml,2024-09-17
1497,Mushroom Powder,1000,gr,2024-09-30
773,Guava,2,pieces,2024-10-07
586,Grape Juice,200,ml,2024-09-25
1375,Beef Broth,500,ml,2024-09-17
793,Tortillas,5,pieces,2024-09-20
6,Swiss Cheese,500,gr,2024-09-13
35,Basil,1000,ml,2024-09-30
364,Chow Mein Noodles,1000,ml,2024-09-28
1211,Portobello Mushrooms,500,gr,2024-09-08
176,Oat Bran,500,gr,2024-09-27
330,Mild Cheddar,1000,gr,2024-09-07
50,Vegetable Shortening,500,ml,2024-09-12
3447,Dragon Fruit,10,pieces,2024-09-19
573,Artichoke Hearts,500,ml,2024-09-16
12,Ground Almonds,400,gr,2024-09-10
5005,Matcha Tea,1000,gr,2024-09-17
137,Rose Water,100,ml,2024-09-14
568,Ice Cream,250,ml,2024-09-21
347,Palm Sugar,1000,gr,2024-09-18
351,Meyer Lemon,1,pieces,2024-10-06
655,Peanuts,400,gr,2024-10-05
55,Corn Flour,100,gr,2024-09-13
135,Red Wine,1000,ml,2024-09-26
883,Rye Bread,10,pieces,2024-09-19
957,Dried Strawberries,100,gr,2024-09-20
274,Paneer,10,pieces,2024-09-29
398,Egg Noodles,1000,ml,2024-09-28
63,Mozzarella Cheese,1000,gr,2024-09-27
477,Pine Nuts,1000,gr,2024-10-07
360,Peanut Butter,100,ml,2024-09-07
2862,Matzo Meal,400,gr,2024-09-16
534,Maraschino Cherries,500,ml,2024-09-21
51,Currants,150,gr,2024-09-13
544,Creme Fraiche,1000,ml,2024-09-11
838,Sugar Cane,2,pieces,2024-09-26
376,Tahini Sauce,500,ml,2024-09-08
3778,Yellow Mustard Seeds,100,gr,2024-10-06
467,Dried Cherries,150,gr,2024-09-14
232,Chestnut Flour,150,gr,2024-10-05
2892,Hemp Seeds,50,gr,2024-09-19
2988,Turnip Greens,200,ml,2024-10-05
672,Bonito Flakes,500,gr,2024-09-18
724,Soy Sauce,250,ml,2024-10-04
751,Achiote Paste,50,gr,2024-10-05
1422,Green Lentils,500,ml,2024-09-21
121,Milk Chocolate,100,gr,2024-09-27
538,Whole-Wheat Flour,200,ml,2024-09-17
1735,Rainbow Chard,100,ml,2024-09-24
1588,Soba Noodles,500,ml,2024-09-24
638,Meringues,50,gr,2024-10-03
324,Coconut Oil,500,ml,2024-09-18
1554,Stevia,100,ml,2024-09-16
104,Extra Virgin Olive Oil,500,ml,2024-10-05
826,Mace,500,gr,2024-09-27
349,Rice Vinegar,100,ml,2024-09-08
57,Colby Cheese,500,gr,2024-09-21
1141,Spinach,250,ml,2024-09-10
719,Salsa Verde,200,ml,2024-10-04
18,Butter Beans,1000,ml,2024-09-09
