ID,Product Name,Quantity,Unit,Date
P001,Tomato Cilantro Butter,133.0,ml,2024-09-26
P002,Potato Starch,151.0,gr,2024-10-02
P003,Mustard Seeds,61.0,gr,2024-10-04
P004,Dried Kiwi Powder,88.0,gr,2024-10-05
P005,Tori Karaage Mix Kit,109.0,gr,2024-10-07
P006,Sweet Vanilla Vinaigrette,172.0,ml,2024-09-21
P007,Murg Masala,73.0,gr,2024-09-23
P008,Beef Broth,158.0,ml,2024-09-19
P009,Mango,162.0,pieces,2024-10-12
P010,Yellow Cornmeal,122.0,gr,2024-09-25
P011,Turnip Greens,90.0,ml,2024-09-29
P012,Farro,123.0,ml,2024-09-25
P013,Chickpeas,106.0,ml,2024-09-25
P014,Mango Pulp Powder,108.0,gr,2024-10-03
P015,Papdi Chaat,63.0,gr,2024-09-24
P016,Chinese Eggplant,164.0,gr,2024-09-22
P017,Cashew Cream,190.0,ml,2024-09-29
P018,Saffron Threads,147.0,gr,2024-10-02
P019,Blueberries,80.0,ml,2024-10-10
P020,Buffalo Mozzarella,135.0,gr,2024-10-01
P021,Chopped Cilantro,198.0,gr,2024-10-04
P022,Maple Extract,144.0,ml,2024-10-07
P023,Salsa Verde,61.0,ml,2024-10-18
P024,Couscous,61.0,ml,2024-10-10
P025,Cane Sugar,168.0,gr,2024-10-02
P026,Yakitori Sauce,108.0,ml,2024-10-08
P027,Dried Fish,58.0,gr,2024-09-27
P028,Ginger Cilantro Sauce,110.0,ml,2024-09-23
P029,Kheer Mix,102.0,gr,2024-09-26
P030,Pickled Ginger Juice,146.0,ml,2024-10-09
P031,Korean Jujube,147.0,gr,2024-09-21
P032,Fried Rice,82.0,gr,2024-10-18
P033,Asari Miso Soup,130.0,gr,2024-09-27
P034,Korean Bean Paste,109.0,gr,2024-10-03
P035,Tapenade,167.0,ml,2024-10-10
P036,Unflavored Gelatin,119.0,gr,2024-09-20
P037,Celery Salt,64.0,gr,2024-10-09
P038,Celery,59.0,ml,2024-10-01
P039,Adzuki Beans,112.0,ml,2024-10-09
P040,Beetroot,158.0,ml,2024-09-22
P041,Rice Noodle Soup Base,155.0,ml,2024-09-23
P042,Nectarine Basil Sauce,159.0,ml,2024-09-28
P043,Japanese Red Miso,152.0,ml,2024-10-13
P044,Vanilla Cilantro Sauce,146.0,ml,2024-09-30
P045,Ginger Vinegar,198.0,ml,2024-10-09
P046,Sesame Cilantro Butter,138.0,ml,2024-09-23
P047,Random Product 1,247.0,gr,2024-10-10
P048,Random Product 2,113.0,gr,2024-10-06
P049,Random Product 3,736.0,ml,2024-09-25
P050,Random Product 4,688.0,gr,2024-09-22
P051,Random Product 5,614.0,pieces,2024-10-04
P052,Random Product 6,660.0,ml,2024-10-08
P053,Random Product 7,335.0,gr,2024-10-11
P054,Random Product 8,358.0,ml,2024-09-28
P055,Random Product 9,836.0,gr,2024-10-09
P056,Random Product 10,409.0,gr,2024-09-25
