ID,Product Name,Quantity,Unit,Date
P001,Avocado,54.0,pieces,2024-10-02
P002,White Wine,177.0,ml,2024-09-22
P003,Lime Zest,67.0,gr,2024-10-04
P004,Bread Flour,189.0,gr,2024-10-05
P005,Coconut Oil,199.0,ml,2024-10-15
P006,Basmati Rice,53.0,ml,2024-10-02
P007,Ground Almonds,112.0,gr,2024-09-24
P008,Rosemary Stalks,87.0,pieces,2024-10-17
P009,Cottage Cheese,67.0,ml,2024-09-22
P010,Asparagus,172.0,ml,2024-10-13
P011,Goji Berry Tea,192.0,ml,2024-10-15
P012,Roti Flour,69.0,gr,2024-10-14
P013,Japanese Rice Flour,95.0,gr,2024-09-24
P014,Pistachio Meal,101.0,gr,2024-10-19
P015,Random Product 1,144.0,pieces,2024-10-14
P016,Random Product 2,155.0,pieces,2024-09-24
P017,Random Product 3,63.0,pieces,2024-09-28
P018,Random Product 4,602.0,ml,2024-10-17
P019,Random Product 5,357.0,gr,2024-09-20
P020,Random Product 6,128.0,ml,2024-09-24
P021,Random Product 7,913.0,gr,2024-10-18
P022,Random Product 8,121.0,ml,2024-09-19
P023,Random Product 9,985.0,ml,2024-10-05
P024,Random Product 10,66.0,ml,2024-09-29
