ID,Product Name,Quantity,Unit,Date
P001,Rice Noodle Soup Base,155.0,ml,2024-10-19
P002,Nectarine Basil Sauce,159.0,ml,2024-10-16
P003,Japanese Red Miso,152.0,ml,2024-10-19
P004,Vanilla Cilantro Sauce,146.0,ml,2024-09-29
P005,Ginger Vinegar,198.0,ml,2024-09-22
P006,Sesame Cilantro Butter,138.0,ml,2024-10-11
P007,Pickled Red Cabbage,115.0,gr,2024-09-25
P008,Vanilla Grapefruit Chutney,67.0,ml,2024-10-12
P009,Sesame Butter,94.0,gr,2024-10-03
P010,Raita,145.0,gr,2024-10-15
P011,Chinese Sweet Bean Paste,158.0,gr,2024-10-10
P012,Garlic Chives Powder,125.0,gr,2024-10-10
P013,Vodka,50.0,ml,2024-09-23
P014,Dried Apricots,175.0,gr,2024-10-16
P015,Lemon Ginger Chutney,96.0,ml,2024-10-15
P016,Ramen Noodles,162.0,ml,2024-10-08
P017,Turmeric Ginger Tea,120.0,gr,2024-10-03
P018,Yam Bean Extract,82.0,ml,2024-09-21
P019,Black Bean Paste,53.0,gr,2024-09-23
P020,Dried Mango,76.0,gr,2024-10-15
P021,Canned Tuna,134.0,ml,2024-10-06
P022,Pumpernickel Bread,90.0,pieces,2024-10-09
P023,Cane Sugar,81.0,gr,2024-10-12
P024,Harissa Paste,122.0,ml,2024-10-17
P025,Cornichons,74.0,ml,2024-10-09
P026,Condensed Milk,138.0,ml,2024-10-05
P027,Mirin Sweetener,134.0,ml,2024-10-11
P028,Bajra Flour,119.0,gr,2024-10-10
P029,Goya Champuru,190.0,gr,2024-10-10
P030,Aloo Gobi,116.0,gr,2024-09-23
P031,Seaweed Salad,73.0,gr,2024-09-30
P032,Pomegranate Thyme Vinaigrette,71.0,ml,2024-10-13
P033,Random Product 1,64.0,pieces,2024-10-17
P034,Random Product 2,590.0,ml,2024-09-23
P035,Random Product 3,913.0,pieces,2024-09-19
P036,Random Product 4,121.0,gr,2024-10-04
P037,Random Product 5,93.0,pieces,2024-10-10
P038,Random Product 6,113.0,ml,2024-10-19
P039,Random Product 7,856.0,pieces,2024-10-05
P040,Random Product 8,322.0,gr,2024-10-09
P041,Random Product 9,63.0,gr,2024-10-15
P042,Random Product 10,160.0,gr,2024-10-11
