ID,Product Name,Quantity,Unit,Date
P001,Ancho Chili Powder,114.0,gr,2024-09-21
P002,Endive,131.0,ml,2024-09-29
P003,Emmental Cheese,88.0,gr,2024-10-05
P004,Octopus,69.0,pieces,2024-09-26
P005,Celery Stalks,157.0,pieces,2024-10-10
P006,Rice Paper,179.0,pieces,2024-10-04
P007,Barley,119.0,ml,2024-10-06
P008,Raspberry Lemon Chutney,100.0,ml,2024-10-04
P009,Sesame Cilantro Chutney,84.0,ml,2024-10-12
P010,Jowar Flour,145.0,gr,2024-10-04
P011,Yam Bean Chips,57.0,gr,2024-09-30
P012,Tofu Cubes Pack,142.0,gr,2024-09-19
P013,Brown Mushrooms,68.0,gr,2024-09-25
P014,Cane Sugar,68.0,gr,2024-10-05
P015,Goji Berries,139.0,gr,2024-09-19
P016,Peanut Oil,124.0,ml,2024-10-07
P017,Olive Tapenade,138.0,ml,2024-09-24
P018,Parmesan Cheese,83.0,gr,2024-10-10
P019,Green Tea Essence,66.0,ml,2024-09-27
P020,Chili Garlic Powder,182.0,gr,2024-10-13
P021,Sichuan Spicy Bean Paste,127.0,ml,2024-10-14
P022,Fermented Soybean Paste Blend,91.0,ml,2024-09-26
P023,Black Cumin Seeds,100.0,gr,2024-10-13
P024,Tomato Cilantro Sauce,124.0,ml,2024-10-04
P025,Pineapple Mint Butter,130.0,ml,2024-10-19
P026,Sichuan Hot Bean Paste,165.0,ml,2024-09-21
P027,Misal Pav,174.0,gr,2024-10-02
P028,Coconut Thyme Sauce,176.0,ml,2024-09-27
P029,Chili Oil,196.0,ml,2024-09-21
P030,Khao Soi,152.0,gr,2024-09-22
P031,Maple Extract,144.0,ml,2024-09-29
P032,Salsa Verde,61.0,ml,2024-10-02
P033,Couscous,61.0,ml,2024-10-04
P034,Gruyere Cheese,157.0,gr,2024-09-19
P035,Coffee Beans,93.0,gr,2024-09-26
P036,Dried Shrimp,124.0,gr,2024-09-20
P037,Flour Tortillas,118.0,pieces,2024-09-28
P038,Currant,89.0,ml,2024-10-17
P039,Random Product 1,40.0,ml,2024-10-14
P040,Random Product 2,532.0,gr,2024-10-01
P041,Random Product 3,421.0,ml,2024-09-29
P042,Random Product 4,630.0,pieces,2024-09-30
P043,Random Product 5,614.0,gr,2024-09-20
P044,Random Product 6,932.0,pieces,2024-10-14
P045,Random Product 7,178.0,ml,2024-09-26
P046,Random Product 8,889.0,pieces,2024-09-24
P047,Random Product 9,287.0,ml,2024-09-20
P048,Random Product 10,999.0,ml,2024-10-16
