ID,Product Name,Quantity,Unit,Date
P001,Fruit Cocktail,104.0,ml,2024-09-21
P002,Acai Berries,71.0,gr,2024-10-04
P003,Quinoa Flour,196.0,gr,2024-10-02
P004,Rice,89.0,ml,2024-09-29
P005,Dried Papaya,112.0,gr,2024-10-05
P006,Random Product 1,494.0,ml,2024-10-07
P007,Random Product 2,794.0,pieces,2024-10-10
P008,Random Product 3,330.0,ml,2024-10-09
P009,Random Product 4,345.0,pieces,2024-09-21
P010,Random Product 5,406.0,gr,2024-10-13
P011,Random Product 6,774.0,gr,2024-10-02
P012,Random Product 7,340.0,pieces,2024-10-11
P013,Random Product 8,959.0,gr,2024-10-14
P014,Random Product 9,354.0,ml,2024-10-16
P015,Random Product 10,260.0,ml,2024-09-22
