ID,Product Name,Quantity,Unit,Date
P001,Chili Bean Paste Sauce,53.0,ml,2024-10-18
P002,Lotus Root,124.0,gr,2024-09-27
P003,Pomegranate Ginger Butter,65.0,ml,2024-10-19
P004,Chili Bean Sauce,180.0,ml,2024-10-06
P005,Bourbon,121.0,ml,2024-09-29
P006,Jicama,127.0,pieces,2024-09-23
P007,Tobiko,125.0,gr,2024-09-21
P008,Tomato Puree,156.0,ml,2024-10-09
P009,Cremini Mushrooms,166.0,gr,2024-09-20
P010,Kefir Cheese,148.0,ml,2024-10-06
P011,Random Product 1,382.0,pieces,2024-09-29
P012,Random Product 2,562.0,gr,2024-09-20
P013,Random Product 3,529.0,ml,2024-09-26
P014,Random Product 4,158.0,gr,2024-10-14
P015,Random Product 5,429.0,ml,2024-09-23
P016,Random Product 6,822.0,gr,2024-09-20
P017,Random Product 7,568.0,pieces,2024-10-10
P018,Random Product 8,992.0,ml,2024-10-01
P019,Random Product 9,188.0,ml,2024-10-09
P020,Random Product 10,697.0,pieces,2024-09-26
