Recipe Name,Recipe ID,Preparation Time (min),nutrition,Number of Steps,Steps,Description,Products,Number of Products,Taste Rating,Shelf Time
pasta with lemon  asparagus and cheese,391586,30,"[468.1, 19.0, 7.0, 13.0, 31.0, 28.0, 25.0]",8,"['in a small skillet over medium low heat cook bacon and garlic and cook until garlic is golden and bacon is done', 'remove from heat and add lemon juice , zest and thyme', 'set aside', 'prepare pasta according to package directions , but 4-5 minutes before pasta is done add asparagus', 'remove 3 / 4 cup of water from pasta cooking liquid and add to bacon / garlic mixture', 'drain pasta and then pour back into cooking pot', 'stir in bacon mixture to pasta along with the cheeses', 'toss']",recipe source: prevention (april 2009),"['bacon', 'garlic cloves', 'lemon', 'fresh thyme', 'penne pasta', 'asparagus', 'part-skim ricotta cheese', 'feta cheese']",8,1,7
chili cheese pie,105169,45,"[384.2, 33.0, 16.0, 39.0, 30.0, 57.0, 11.0]",7,"['mix egg , sugar , milk and cornbread mix', 'the box may call for less milk but a half cup makes the batter loose enough for this recipe', 'butter your casserole dish and pour in batter', 'set it aside', 'mix onion , bell peppers , chickpeas , salsa , chili and half the cheese and spoon on top of the corn bread batter', 'top with the rest of the cheese', 'bake at 350 degrees for 30 minutes or until the cheese is browning and bubbling']","this a quick and easy favorite in our house. you will need either one large casserole dish or two small ones. the long kind (9x6, i think) will hold the whole recipe.","['jiffy cornbread mix', 'egg', 'sugar', 'milk', 'chili', 'extra-sharp cheddar cheese', 'mild salsa', 'onion', 'green bell pepper', 'chickpeas', 'butter']",11,9,18
chocolate sauce so smooth,324361,10,"[144.0, 9.0, 74.0, 0.0, 1.0, 19.0, 7.0]",4,"['in a saucepan , melt butter & chocolate', 'add sugar , cream , corn syrup & vanilla , then bring to boil , stirring constantly', 'boil 1 1 / 2 minutes , then revove from heat', 'serve warm or cold over ice cream , pound cake , or just enjoy a spoonful of it as is !']","this recipe comes complements of the taste of home's chocolate lover's cookbook, volume 2, 2003! it has become a favorite with me & my friends!","['unsalted butter', 'unsweetened chocolate squares', 'granulated sugar', 'half-and-half cream', 'light corn syrup', 'vanilla extract']",6,5,30
okay  which one of you will be brave,190599,80,"[695.6, 48.0, 331.0, 12.0, 10.0, 51.0, 34.0]",16,"['melt chocolate in saucepan , stirring over low heat , or in microwave oven', 'caramelize onion by sauting over medium low heat for 8-10 minutes in 2 tablespoons oil in skillet until soft', 'in large bowl , beat remaining oil with sugar , eggs and vanilla until thoroughly mixed and fluffy , about 2 or 3 minutes', 'beat in warm melted chocolate and caramelized onions', 'mix flour with baking soda and salt', 'stir into batter alternately with milk', 'divide batter evenly into 2 well-greased and floured 8-inch round layer cake pans', 'bake at 350 degrees for 25-35 minutes or until a pick inserted into center comes out dry', 'cool 15 minutes then invert onto wire racks to thoroughly cool', 'spread on icing', 'easy fudge icing: melt 8 ounces unsweetened chocolate with 1 / 2 cup butter in saucepan , stirring often over very low heat', 'mix in 1 / 2 cup hot water then turn into mixing bowl', 'beat in about 5 cups powdered sugar , a portion at a time', 'quickly fill and frost cake while icing is still warm', 'if some icing gets too cool to spread easily , place it in microwave safe bowl and microwave shortly just until softened and lustrous', 'makes about 3-1 / 2 cups']","i don't eat cake, so i can't do it.  despite the ""secret"" ingredient, i'm told this is great! i remain skeptical (skeptical hell, i'm scared!) and beg one of you to dare. recipe courtesy of the national onion association.","['unsweetened chocolate', 'yellow onion', 'vegetable oil', 'sugar', 'eggs', 'vanilla', 'all-purpose flour', 'baking soda', 'salt', 'milk', 'vinegar', 'butter', 'hot water', 'powdered sugar']",14,5,6
cheese stuffed manicotti  uncooked noodles,335376,110,"[154.7, 16.0, 6.0, 12.0, 21.0, 32.0, 1.0]",9,"['in medium bowl combine ricotta , mozzarella , provolone , parmesan , eggs , parsley , salt and pepper , and any optional ingredients', 'stuff shells by repeatedly twisting uncooked noodles against the bottom of the bowl', 'place stuffed manicotti in 9x13 inch pan', 'in small bowl empty jar of prego', 'fill empty prego jar with about 1 cup of water and shake to grab remaining sauce from jar and pour into bowl', 'stir sauce then pour over manicotti noodles', 'cover with foil and freeze', 'heat oven to 375', 'cook for 45 minutes covered and 45 minutes uncovered , or until the sauce is bubbling on the sides']",very easy to make.  i started making this when i was 7 years old.   do not cook noodles prior to stuffing.  kids and adults both love this recipe.,"['manicotti', 'ricotta cheese', 'mozzarella cheese', 'provolone cheese', 'parmesan cheese', 'egg', 'parsley', 'salt and pepper', 'prego spaghetti sauce', 'water', 'cream cheese', 'garlic', 'basil', 'onion', 'crushed red pepper flakes']",15,5,3
risotto with snow peas   shrimp   grated cheese,150238,45,"[334.5, 7.0, 10.0, 17.0, 34.0, 6.0, 17.0]",15,"['bring clam juice , water & red pepper flakes to a simmer in a medium saucepan', 'keep warm over low heat', 'heat oil in a large saucepan over medium heat', 'add shallots and cook 1 minute', 'add rice', 'and cook 1 minute , stirring constantly', 'stir in wine', 'cook 1 minute', 'stir in 1 / 2 cup juice mixture', 'cook 2 minutes or until liquid is nearly absorbed , stirring constantly', 'add remaining juice mixture , 1 / 2 a cup at a time , stirring constantly until each portion of juice mixture is absorbed before adding the next', 'stir in shrimp , and snow peas', 'cook 4 minutes or until shrimp are done , stirring constantly', 'remove from heat , stir in cheese and remaining ingredients', 'garnish with parsley']","this is a simple but elegant recipe! it combines all three food groups in one. found this on the web @ cookinglightcentral.com advertisement and tweaked it; hopefully, making it better.","['clam juice', 'water', 'olive oil', 'shallot', 'arborio rice', 'dry white wine', 'large shrimp', 'snow peas', 'fresh parmesan cheese', 'fresh thyme', 'lemon zest', 'fresh ground black pepper', 'red pepper flakes', 'fresh parsley']",14,4,7
chicken parmesan   aaron mccargo  jr s masterpiece,315580,40,"[1150.5, 92.0, 110.0, 164.0, 140.0, 157.0, 26.0]",12,"['heat oil to 350 degrees f', 'mix all seasonings together then divide into 2 parts', 'season chicken breast with half of the seasoning on both sides', 'add the remaining seasoning and 3 tablespoons of chopped fresh parsley to panko bread crumbs and mix', 'dip chicken in flour , then in eggs , then in bread crumbs', 'fry chicken until golden brown , about 3 to 5 minutes', 'for the white sauce , heat the garlic and heavy cream in a medium saucepan , until simmering', 'turn off heat , add butter , and whisk vigorously until fully incorporated', 'add 1 tablespoon fresh parsley and season with salt and pepper', 'simmer the marinara sauce in saucepan over medium heat', 'place 2 slices of mozzarella cheese on each breast', 'pour the warmed marinara sauce over the cheese , drizzle with white sauce and serve']","this is, without question, the best chicken parmesan i've ever had.  it's from aaron mccargo, jr of the next food network star competition.  i love the way he seasons the chicken itself as well as the panko, making sure you *get* the seasonings instead of them falling off into the oil. 

the white sauce takes this completely over the top.   just when you think you've died and gone to blissful heaven, another dimension of magnificent flavor graces your awaiting tongue.  

use your favorite store-bought marinara. i used classico cabernet marinara with herbs and it was deee-vine!  i also used far less oil than aaron's suggested 2 quarts and halved the recipe which turned out just fine.  diet, schmy-et!","['canola oil', 'kosher salt', 'onion powder', 'garlic powder', 'cracked black pepper', 'boneless skinless chicken breasts', 'fresh parsley leaves', 'panko breadcrumbs', 'all-purpose flour', 'eggs', 'marinara sauce', 'mozzarella cheese', 'fresh garlic', 'heavy cream', 'butter', 'salt & freshly ground black pepper']",16,1,30
lemon sorbet tart,93362,220,"[131.9, 10.0, 36.0, 4.0, 4.0, 19.0, 5.0]",18,"['preheat oven to 350f', 'spray a 9-inch springform pan with nonstick cooking spray', 'using the food processor and metal blade , combine all crust ingredients', 'process until well mixed', 'press crumb mixture in bottom of prepared pan and bake for 10 to 12 minutes or until lightly browned', 'cool 10 minutes', 'remove the sorbet from freezer and allow to sit at room temperature while while the crust cools', 'meanwhile , cream cheese in large bowl with electric mixer', 'with mixer running at low speed , gradually add half and half to cream cheese , beating until well blended', 'add powdered sugar and blend well', 'beat at high speed for 2 to 3 minutes or until foamy', 'spoon sorbet into another bowl and add cream cheese mixture , lemon juice and food color', 'stir until blended', 'pour into cooled crust', 'spreading evenly', 'freeze at least 2-1 / 2 hours or until firm', 'garnish each slice with fresh mint leaves and lemon slices , strawberries or raspberries', 'the cooking time includes the time required in freezer']",i found this in a 1997 edition of pillsbury's fast and healthy magazine. dh loves lemon and i have no idea why i have not tried this one. it sounds wonderful.,"['graham cracker crumbs', 'sugar', 'butter', 'lemon zest', 'water', 'reduced-fat cream cheese', 'half-and-half', 'powdered sugar', 'lemon sorbet', 'lemon juice', 'yellow food coloring']",11,2,20
peruvian yellow pepper sauce,454691,35,"[112.3, 15.0, 1.0, 0.0, 1.0, 7.0, 1.0]",13,"['preheat grill to high', 'place pepper on grate and grill until black on all sides , 4-6 minutes per side', 'transfer to a plate and let cool', 'scrape off the burnt skin', ""it's okay if you don't get all of it"", 'stem and seed the pepper , and cut into 1"" pieces', 'place pieces in a food processor or blender', 'add all remaining ingredients', 'puree to a smooth paste', 'you should be able to pour the sauce', 'if it is too thick to pour , mix in a little water', 'serve at room temperature', 'can be stored , covered and refrigerated , for up to 1 week']","adapted from the barbecue bible sauces rubs and marinades.  this is an adaptation of aji amarillo sauce with ingredients that may be a little easier to find.  this is a good sauce to serve with grilled meat, poultry or seafood, or in recipes that call for aji amarillo sauce.  you can substitute additional vinegar for the lime juice.","['yellow bell pepper', 'scallions', 'garlic cloves', 'jalapeno', 'olive oil', 'distilled white vinegar', 'fresh lime juice', 'ground cumin', 'ground turmeric', 'ground cayenne pepper', 'salt and pepper']",11,7,19
mexican style turkey,139509,30,"[1904.0, 136.0, 16.0, 40.0, 499.0, 119.0, 3.0]",13,"['peel the garlic and crush 1 clove', 'place the turkey breasts in a dish and sprinkle with vinegar , sugar and crushed garlic , season to taste , cover and chill for at least 2 hours', 'heat the oil in a deep , preferably non-stick , pan', 'remove the turkey from the marinade and fry for 10-12 minutes , turning once , until cooked and golden', 'remove from the pan and keep warm', 'reserve the pan juices', 'meanwhile , peel and chop the onions , and put them in a food processor with the remaining 3 cloves of garlic , the chilli powder and cinnamon , season to taste and blend into a smooth paste', 'reheat the juices in the pan until simmering , stir in the onion paste and simmer for 5 minutes', 'then stir in 300ml / 1 / 2 pint of water', 'grate in the chocolate , crumble in the stock cube and stir in the tomato pure', 'add the turkey and simmer for 2-3 minutes , or until the turkey is hot and the sauce is thick', 'garnish with sesame seeds and coriander , and serve with sour cream and fried mexican potatoes and capsicum recipe # -- warm tortillas', ""chef's""]","turkey breasts, caster sugar, chilli powder, chocolate and coriander: just some of the ingredients that are brought together in this recipe.  perhaps not surprisingly, i couldn't find another quite like it on zaar!  this is another recipe from the international masters '1001 recipes for pan or wok' recipe cards, posted for the 2005 zaar world tour.  the word chocolate comes from the aztec word 'xocolati'.  the aztecs often used cocoa beans to make unsweetened drinks.  see notes below about the sort of chocolate most suitable for this recipe. 15g = 1/2 ounce. the preparation and cooking times do not include the 2 hours chilling and marinating time.","['garlic cloves', 'turkey breast', 'malt vinegar', 'caster sugar', 'salt', 'fresh ground black pepper', 'vegetable oil', 'onions', 'chili powder', 'ground cinnamon', 'chocolate', 'chicken stock cube', 'tomato puree', 'sesame seeds', 'coriander']",15,9,22
