ID,Product Name,Quantity,Date
P001,yellow cake mix with pudding,1.0,2024-10-06
P002,mandarin oranges,1.0,2024-09-25
P003,pineapple chunks,1.0,2024-09-29
P004,sweetened coconut,1.0,2024-10-19
P005,vegetable oil,1.0,2024-10-02
P006,eggs,1.0,2024-10-16
P007,cool whip,1.0,2024-10-19
P008,instant pudding mix,1.0,2024-10-16
P009,cream cheese,1.0,2024-10-13
P010,unflavored gelatin,1.0,2024-10-20
P011,self-rising flour,1.0,2024-09-26
P012,buttermilk,1.0,2024-10-04
P013,baking powder,1.0,2024-09-20
P014,crisco shortening,1.0,2024-10-08
P015,sweet potato,1.0,2024-10-12
P016,potato,1.0,2024-10-05
P017,fresh zucchini,1.0,2024-10-02
P018,frozen peas,1.0,2024-10-20
P019,olive oil,1.0,2024-10-19
P020,fresh sage,1.0,2024-10-08
P021,honey,1.0,2024-09-21
P022,garlic,1.0,2024-10-20
P023,scallion,1.0,2024-10-02
P024,cayenne pepper,1.0,2024-09-28
P025,dijon mustard,1.0,2024-10-11
P026,mayonnaise,1.0,2024-09-30
P027,pine nuts,1.0,2024-10-20
P028,salt,1.0,2024-10-20
P029,black pepper,1.0,2024-09-20
P030,chili powder,1.0,2024-09-26
P031,ground cumin,1.0,2024-10-12
P032,hard-boiled eggs,1.0,2024-10-09
P033,balsamic vinegar,1.0,2024-10-19
P034,smoked bacon,1.0,2024-10-12
P035,maple syrup,1.0,2024-10-07
P036,ground beef,1.0,2024-10-13
P037,milk,1.0,2024-09-21
P038,dry breadcrumbs,1.0,2024-10-16
P039,onion,1.0,2024-10-15
P040,egg,1.0,2024-10-18
P041,mustard,1.0,2024-10-16
P042,hp steak sauce,1.0,2024-09-25
P043,worcestershire sauce,1.0,2024-10-12
P044,spaghetti,1.0,2024-09-23
P045,italian dressing,1.0,2024-10-13
P046,parmesan cheese,1.0,2024-09-27
P047,sesame seeds,1.0,2024-10-01
P048,poppy seed,1.0,2024-10-15
P049,seasoning salt,1.0,2024-09-26
P050,paprika,1.0,2024-10-08
P051,garlic powder,1.0,2024-09-22
P052,cucumber,1.0,2024-10-16
P053,red onion,1.0,2024-10-15
P054,tomatoes,1.0,2024-09-23
P055,parsley,1.0,2024-09-24
P056,water,1.0,2024-09-21
P057,sugar,1.0,2024-10-07
P058,table salt,1.0,2024-09-20
P059,cloves,1.0,2024-10-05
P060,whole nutmegs,1.0,2024-09-21
P061,ham,1.0,2024-10-18
P062,coriander seeds,1.0,2024-10-07
P063,cumin seeds,1.0,2024-10-19
P064,whole black peppercorns,1.0,2024-09-23
P065,kosher salt,1.0,2024-10-09
P066,dark rum,1.0,2024-09-23
P067,molasses,1.0,2024-10-10
P068,unsalted butter,1.0,2024-10-09
P069,plain soymilk,1.0,2024-10-02
P070,lowfat silken tofu,1.0,2024-10-16
P071,bananas,1.0,2024-10-16
P072,cocoa powder,1.0,2024-09-23
P073,stevia,1.0,2024-10-19
P074,canola oil,1.0,2024-09-29
P075,cinnamon sticks,1.0,2024-10-11
P076,green cardamom pods,1.0,2024-09-30
P077,fresh ginger,1.0,2024-10-02
P078,garlic cloves,1.0,2024-09-21
P079,turmeric powder,1.0,2024-10-19
P080,coriander powder,1.0,2024-10-16
P081,yoghurt,1.0,2024-09-20
P082,tomato puree,1.0,2024-09-20
P083,skinless chicken breasts,1.0,2024-10-14
P084,sliced almonds,1.0,2024-09-22
P085,fresh coriander,1.0,2024-10-05
P086,poblano chiles,1.0,2024-10-16
P087,hot pepper sauce,1.0,2024-10-06
P088,beef t-bone steaks,1.0,2024-09-21
P089,white sugar,1.0,2024-09-27
P090,fast rising yeast,1.0,2024-10-13
P091,bread flour,1.0,2024-10-15
P092,rolled oats,1.0,2024-10-08
P093,pecans,1.0,2024-10-11
P094,butter,1.0,2024-10-06
P095,fennel bulbs,1.0,2024-09-24
P096,"orange, zest of",1.0,2024-09-25
P097,frozen orange juice concentrate,1.0,2024-10-18
P098,sherry wine vinegar,1.0,2024-10-09
P099,chili flakes,1.0,2024-09-29
P100,extra virgin olive oil,1.0,2024-10-05
P101,orange section,1.0,2024-10-08
P102,fennel leaves,1.0,2024-09-27
P103,brown lentils,1.0,2024-10-07
P104,carrot,1.0,2024-09-24
P105,shallot,1.0,2024-09-27
P106,celery,1.0,2024-10-08
P107,fresh thyme,1.0,2024-09-30
P108,fresh ground pepper,1.0,2024-10-01
P109,egg yolk,1.0,2024-10-04
P110,lemon juice,1.0,2024-09-21
P111,fresh cranberries,1.0,2024-09-30
P112,all-purpose flour,1.0,2024-10-14
P113,baking soda,1.0,2024-10-01
P114,orange juice,1.0,2024-09-25
P115,walnuts,1.0,2024-10-12
P116,wonton wrappers,1.0,2024-09-23
P117,bulk pork sausage,1.0,2024-09-26
P118,colby cheese,1.0,2024-10-15
P119,green pepper,1.0,2024-10-16
P120,sweet red pepper,1.0,2024-09-26
P121,green onions,1.0,2024-09-22
P122,ranch salad dressing,1.0,2024-10-10
P123,corn tortillas,1.0,2024-10-08
P124,cream soup,1.0,2024-10-03
P125,chicken breasts,1.0,2024-09-22
P126,mild green chilies,1.0,2024-10-04
