ID,Product Name,Quantity,Date
P001,water,1.0,2024-10-04
P002,textured vegetable protein,1.0,2024-09-20
P003,ground savory,1.0,2024-10-06
P004,ground thyme,1.0,2024-09-21
P005,black pepper,1.0,2024-10-02
P006,sage,1.0,2024-10-06
P007,salt,1.0,2024-09-30
P008,sugar,1.0,2024-09-27
P009,eggs,1.0,2024-10-07
P010,cream cheese,1.0,2024-09-21
P011,mayonnaise,1.0,2024-10-03
P012,sharp cheddar cheese,1.0,2024-10-05
P013,dill weed,1.0,2024-09-20
P014,red onion,1.0,2024-10-08
P015,cayenne pepper,1.0,2024-09-20
P016,shrimp,1.0,2024-10-18
P017,crabmeat,1.0,2024-09-24
P018,french bread,1.0,2024-10-05
P019,parmesan cheese,1.0,2024-09-22
P020,onion,1.0,2024-10-17
P021,lean beef chuck roast,1.0,2024-10-14
P022,taco seasoning mix,1.0,2024-10-09
P023,flour tortillas,1.0,2024-10-17
P024,fat-free cheddar cheese,1.0,2024-09-23
P025,tomatoes,1.0,2024-09-22
P026,iceberg lettuce,1.0,2024-10-15
P027,fat free sour cream,1.0,2024-09-22
P028,ground beef,1.0,2024-09-21
P029,taco seasoning,1.0,2024-10-07
P030,salsa,1.0,2024-10-11
P031,pasta,1.0,2024-09-22
P032,cheddar cheese,1.0,2024-10-17
P033,sour cream,1.0,2024-10-16
P034,black olives,1.0,2024-10-07
P035,lettuce,1.0,2024-10-13
P036,milk,1.0,2024-09-26
P037,active dry yeast,1.0,2024-10-10
P038,light brown sugar,1.0,2024-10-14
P039,all-purpose flour,1.0,2024-09-25
P040,unsalted butter,1.0,2024-10-17
P041,fine salt,1.0,2024-10-16
P042,baking soda,1.0,2024-10-01
P043,warm water,1.0,2024-09-24
P044,coarse salt,1.0,2024-10-06
P045,honey,1.0,2024-09-22
P046,brown sugar,1.0,2024-10-19
P047,rum,1.0,2024-10-10
P048,butter,1.0,2024-10-13
P049,cinnamon,1.0,2024-10-15
P050,allspice,1.0,2024-10-03
P051,whole cloves,1.0,2024-10-15
P052,frozen unsweetened raspberries,1.0,2024-10-01
P053,condensed beef broth,1.0,2024-10-07
P054,raspberry jelly,1.0,2024-10-20
P055,"lemon, zest of",1.0,2024-10-20
P056,lemon juice,1.0,2024-10-11
P057,salt and pepper,1.0,2024-09-30
P058,extra virgin olive oil,1.0,2024-10-03
