ID,Product Name,Quantity,Date
P001,asiago caesar salad dressing,2,2024-09-25
P002,starkist lemon and cracked pepper tuna fillets,1,2024-10-01
P003,pork shanks,2,2024-09-26
P004,butternut squash seeds,5,2024-09-28
P005,wax peppers,1,2024-09-21
P006,serrano chilies,1,2024-09-26
P007,gluten-free cocoa powder,3,2024-09-29
P008,mandarin oranges,5,2024-10-19
P009,barley miso,4,2024-10-17
P010,frozen potato pierogies,2,2024-09-29
P011,ground turkey thigh meat,4,2024-09-26
P012,mirliton,1,2024-09-25
P013,barbados molasses,3,2024-09-25
P014,reduced-sodium turkey broth,4,2024-09-30
P015,shichimi-togarashi,4,2024-10-17
P016,las palmas green chili sauce,1,2024-10-09
P017,field mushrooms,4,2024-10-10
P018,chocolate liqueur cups,4,2024-09-26
P019,margarine spread,2,2024-10-05
P020,lemon juice,2,2024-10-18
P021,lime sherbet,2,2024-10-13
P022,veal escalopes,2,2024-10-16
P023,chocolate icing,3,2024-10-03
P024,currant juice,2,2024-10-10
P025,miniature bagels,3,2024-10-19
P026,racks of baby-back pork ribs,4,2024-10-04
P027,seedless red grapes halves,4,2024-09-23
P028,fruit jelly,4,2024-09-26
P029,smucker's orchard's finest michigan red tart cherry preserves,3,2024-10-06
P030,orange jelly powder,5,2024-09-27
P031,lowfat silken tofu,1,2024-09-28
P032,garlic sausage,1,2024-10-14
P033,grapefruit sections,5,2024-10-20
P034,apple cider,4,2024-10-12
P035,low sodium green beans,5,2024-09-24
P036,chunky turkey pot pie soup,1,2024-10-15
P037,plain soymilk,2,2024-10-10
P038,ahi tuna steaks,1,2024-10-03
P039,coconut butter,1,2024-10-05
P040,egg beaters cheese and chive egg substitute,4,2024-09-22
P041,fat-free vegetable broth,4,2024-09-22
P042,banana pepper rings,4,2024-10-13
P043,peanut sauce mix,2,2024-10-16
P044,tangerines,3,2024-09-23
P045,reduced-sodium hot dogs,4,2024-10-12
P046,portuguese rolls,5,2024-09-23
P047,white truffles,4,2024-10-03
P048,fresh calf liver,5,2024-09-26
P049,red capsicum,5,2024-10-09
P050,manishevitz wine,2,2024-10-11
P051,liverwurst,3,2024-10-13
P052,garlic paste,5,2024-09-23
P053,crab claw meat,2,2024-10-17
P054,boboli pizza crust,1,2024-10-17
P055,light spaghetti sauce,3,2024-09-20
P056,soy crumbles,5,2024-10-09
P057,reduced-sodium fat-free chicken broth,3,2024-09-22
P058,aji-no-moto,1,2024-10-10
P059,palm oil,2,2024-10-09
P060,jasmine oil,2,2024-10-03
P061,cheese curds,1,2024-09-25
P062,multi-grain hamburger buns,5,2024-09-25
P063,rose water,5,2024-10-02
P064,red chili powder,2,2024-10-09
P065,snapper steaks,2,2024-10-03
P066,lemon-lime flavored soda,4,2024-09-30
P067,poblano pepper,5,2024-09-28
P068,pork seasoning,4,2024-10-15
P069,salt-free cajun seasoning,3,2024-09-23
P070,marshmallow base,2,2024-09-30
P071,fresh zucchini,2,2024-09-23
P072,gimmie lean sausage flavor,2,2024-09-28
P073,fresh onion ring,5,2024-10-20
P074,milk chocolate brownie mix,4,2024-09-30
P075,red seedless grapes,2,2024-09-20
P076,skordalia,2,2024-10-05
P077,chicken gizzards,5,2024-09-23
P078,low-fat vanilla soymilk,3,2024-10-18
P079,hersheys cocoa powder,1,2024-09-28
P080,grain cereal,1,2024-10-01
P081,mint,3,2024-10-07
P082,tomatoes with onion and garlic,1,2024-09-25
P083,kishke,4,2024-10-19
P084,fat-free caesar salad dressing,3,2024-10-01
P085,ceylon tea bag,3,2024-10-02
P086,duck carcass,2,2024-10-20
P087,watermelon,5,2024-09-21
P088,dried bay leaves,3,2024-09-27
P089,coconut cream pudding mix,5,2024-10-14
P090,reames frozen noodles,3,2024-09-23
P091,fava beans,4,2024-09-28
P092,hen,3,2024-09-20
P093,sambal powder,1,2024-09-29
P094,iceberg lettuce leaf,5,2024-10-02
P095,yogurt,1,2024-10-20
P096,salad oil,2,2024-10-05
P097,organic turkey,3,2024-10-15
P098,asian-style dressing,1,2024-10-18
P099,vegan sausage patties,3,2024-10-09
P100,corned beef,1,2024-09-23
