learning_rate,discount_factor,epsilon,episodes,minimize_waste_score,count_expired_score
0.001,0.99,0.2,100,17.621032118925378,11.0
0.1,0.95,0.2,100,16.647995565354936,11.0
0.001,0.9,0.3,1000,16.64277879126916,11.0
0.01,0.9,0.2,500,16.604152651680092,11.0
0.001,0.9,0.3,100,16.604152651680092,11.0
0.001,0.95,0.2,1000,16.604152651680092,11.0
0.1,0.99,0.2,100,16.60415265168009,11.0
0.01,0.95,0.2,1000,16.60415265168009,11.0
0.01,0.95,0.3,500,16.597246192398053,11.0
0.01,0.9,0.3,500,16.536919197963915,11.0
